,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,MT-ATP6,MT-ATP8
MT-CO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CO2,0.34069196405107954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CO3,0.2783043941766818,0.40934408141511686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CYB,0.23851835407889377,0.46990150836453665,0.3981054836455489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND1,0.07332473426002761,0.21609462406632804,0.310903275854274,0.26831811061404987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND2,0.11900181597169764,0.26367582156427294,0.2272856828059767,0.2935791555084729,0.24736720790249256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND3,0.11954679294748316,0.2908685303002879,0.3646763352458885,0.3169166871533466,0.33863895886759865,0.22578154183553745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND4,0.17386841528332997,0.2674327578495736,0.26636116056296727,0.29879709351218303,0.2036969519849122,0.2215885273018185,0.2523377132117944,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND4L,0.17200376059215705,0.39066617744069654,0.360532034007485,0.3772885130231524,0.31564765982395143,0.2593893351468785,0.33852680403898616,0.29452001903532743,0.0,0.0,0.0,0.0,0.0
MT-ND5,0.2354308861158094,0.22200966130410243,0.19540797435462734,0.23829788137878355,0.20574976188251498,0.1460640189627421,0.18359965950140641,0.21066053687440556,0.24777361049091026,0.0,0.0,0.0,0.0
MT-ND6,0.12774862987294205,0.08762550193393641,0.05182452753850648,0.09282937789337971,0.024273466584134592,0.02679035708289327,0.02153633223055709,0.07291414206080983,0.060110978428708814,0.2366804001446602,0.0,0.0,0.0
MT-ATP6,0.21310051582107484,0.2377023167397205,0.19650974761893034,0.22993444762779292,0.12081466885701313,0.16994929423273264,0.1738102162894076,0.24123117259748736,0.20894658016727233,0.1253996008935023,0.07490391429639387,0.0,0.0
MT-ATP8,0.17831096639139163,0.24850145774657806,0.27762559424046873,0.27498962085194373,0.2765161413235898,0.2070138931273401,0.288057010034434,0.21058662109719153,0.26935490156797415,0.20082565713792266,0.08543723906029427,0.19300357509573907,0.0
