,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,MT-ATP6,MT-ATP8
MT-CO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CO2,0.2615863039969507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CO3,0.26868427919413823,0.3745085061813857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CYB,0.17526941865825899,0.41805348399238534,0.3536598389195743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND1,0.06724987452985057,0.16924162886721555,0.26188048017683097,0.2221938721403652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND2,0.08760084088815889,0.2028559823511959,0.17907858180695985,0.21087126693249886,0.17936448184731618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND3,0.14623864359114686,0.23897572653794855,0.2477041124066692,0.211384984042752,0.16645293226981542,0.12539030286786043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND4,0.1141621536967914,0.18534425648109798,0.15582032980141342,0.18850684984069957,0.12221154553369898,0.16229438883519423,0.12185250374036219,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND4L,0.13082920787715943,0.3528553711464612,0.2862825660968594,0.3331020838256156,0.21599780712641864,0.16364943083458794,0.21274571285216604,0.2031412576679917,0.0,0.0,0.0,0.0,0.0
MT-ND5,0.10389587655597998,0.161908085886449,0.18125545739758153,0.19892957375240525,0.16694644040264434,0.11399968342947557,0.1321029877273227,0.08932467149437101,0.17629451770172358,0.0,0.0,0.0,0.0
MT-ND6,0.0440832693196521,0.06323097765249729,0.06372547354450438,0.07738366107844527,0.07391325783052777,0.07490265327962513,0.04862283709465397,0.0295982599328614,0.056765135794381444,0.23769899200335565,0.0,0.0,0.0
MT-ATP6,0.08292593109962391,0.161121898107604,0.1483252950829632,0.14224242713264837,0.11392772278141323,0.12937456880564055,0.1040217746374365,0.11217068022458031,0.1480275061066837,0.05372737007010064,0.057492949612864726,0.0,0.0
MT-ATP8,0.11693292382891361,0.21010353362086107,0.27677327166056304,0.22751220905719272,0.27213728365249895,0.15246856119173843,0.21063674440669888,0.13655303734795263,0.21839756049141895,0.16712625131467565,0.08901220624146734,0.11972548341826778,0.0
