,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,MT-ATP6,MT-ATP8
MT-CO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CO2,0.32446847771429266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CO3,0.35124119663450226,0.44998859280472614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-CYB,0.26231169383163966,0.47601505403585975,0.44139731381246744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND1,0.12935468959912677,0.2872900303417177,0.3235300450852718,0.3145234383440877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND2,0.11957801489581747,0.23317965009466662,0.2291339132742202,0.2623960323339356,0.24636042296777785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND3,0.2446385234805176,0.3867490922097738,0.39342525526439953,0.36180429465971486,0.330649881448801,0.21970154764792924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND4,0.1599392526230125,0.2684264656047709,0.24315424932119495,0.2733997271599355,0.18780518877479008,0.18940007315429805,0.24737546026934287,0.0,0.0,0.0,0.0,0.0,0.0
MT-ND4L,0.20976612861788116,0.4197188989670066,0.35346934709900735,0.4037350926049502,0.315837479525629,0.24079188720441186,0.36224792045201665,0.26352106184341445,0.0,0.0,0.0,0.0,0.0
MT-ND5,0.1873524257355382,0.26836646709126455,0.23407962049219858,0.2704171646247654,0.2096123612796519,0.16548545746560012,0.20697896253086867,0.15298593234273514,0.25007755710614704,0.0,0.0,0.0,0.0
MT-ND6,0.08532840661712265,0.1001026375818565,0.06700930793129713,0.10614538092094598,0.058869757434316015,0.08746526399597969,0.06979954534327731,0.06241283741017878,0.06652566213581812,0.21572706809250322,0.0,0.0,0.0
MT-ATP6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
MT-ATP8,0.17412171410446384,0.2917793170366738,0.32816358851563165,0.29861280505621596,0.30613224698468217,0.20617123043200336,0.32152422536772174,0.21572324462476794,0.3077742593340715,0.20356946886622226,0.028348079548762936,0.3333333333333333,0.0
